__time,/joint_states/fanuc_m20ia_35m_joint1/position,/joint_states/fanuc_m20ia_35m_joint1/velocity,/joint_states/fanuc_m20ia_35m_joint2/position,/joint_states/fanuc_m20ia_35m_joint2/velocity,/joint_states/fanuc_m20ia_35m_joint3/position,/joint_states/fanuc_m20ia_35m_joint3/velocity,/joint_states/fanuc_m20ia_35m_joint4/position,/joint_states/fanuc_m20ia_35m_joint4/velocity,/joint_states/fanuc_m20ia_35m_joint5/position,/joint_states/fanuc_m20ia_35m_joint5/velocity,/joint_states/fanuc_m20ia_35m_joint6/position,/joint_states/fanuc_m20ia_35m_joint6/velocity,/joint_states/header/stamp,/joint_states/joint_world_to_slider/position,/joint_states/joint_world_to_slider/velocity
1707309220.377312,0.000352518,-0.161363479,0.000434152,0.034388787,-0.000115266,-0.051279098,-0.001262556,-2.674565321,0.000117236,-0.907478918,0.005925824,3.961484296,9.839000000,0.000624958,0.007948654
1707309220.378911,0.000193072,-0.159445708,0.000466034,0.031881746,-0.000169297,-0.054031055,-0.002158714,-0.896157372,-0.000792655,-0.909890188,0.007992990,2.067166040,9.840000000,0.000631654,0.006695846
1707309220.381037,0.000039127,-0.153944955,0.000493960,0.027925748,-0.000224442,-0.055145769,-0.001290049,0.868664175,-0.001642463,-0.849808803,0.008175297,0.182306818,9.841000000,0.000636329,0.004674996
1707309220.381297,-0.000104418,-0.143544536,0.000512189,0.018229618,-0.000263735,-0.039292329,0.001353774,2.643823115,-0.002477529,-0.835066069,0.006436128,-1.739168552,9.842000000,0.000638127,0.001797567
1707309220.383143,-0.000230739,-0.126321611,0.000520776,0.008586148,-0.000301565,-0.037830461,0.003482401,2.128627627,-0.003262216,-0.784686247,0.005024697,-1.411431084,9.843000000,0.000636071,-0.002055099
1707309220.390836,-0.000335321,-0.104581709,0.000515941,-0.004834199,-0.000326472,-0.024906718,0.005115364,1.632962895,-0.004027427,-0.765211296,0.003899233,-1.125464130,9.844000000,0.000629434,-0.006637155
1707309220.394409,-0.000414410,-0.079089466,0.000495329,-0.020612304,-0.000331120,-0.004647718,0.006265760,1.150395902,-0.004793482,-0.766055180,0.003027907,-0.871325456,9.845000000,0.000617625,-0.011809528
1707309220.396317,-0.000465092,-0.050681106,0.000458826,-0.036503062,-0.000314733,0.016386345,0.006936604,0.670843688,-0.005564088,-0.770605558,0.002392907,-0.635000844,9.846000000,0.000600207,-0.017417511
1707309220.398892,-0.000485385,-0.020293682,0.000408560,-0.050266059,-0.000283076,0.031656930,0.007120998,0.184394374,-0.006326344,-0.762256105,0.001990921,-0.401985796,9.847000000,0.000576919,-0.023288323
1707309220.401952,-0.000474444,0.010941519,0.000348332,-0.060228142,-0.000246725,0.036350965,0.006808616,-0.312382270,-0.007054911,-0.728566809,0.001827799,-0.163121391,9.848000000,0.000547701,-0.029218097
1707309220.403010,-0.000432402,0.042041407,0.000282522,-0.065809350,-0.000217819,0.028906529,0.005988582,-0.820034104,-0.007720250,-0.665338918,0.001913949,0.086149968,9.849000000,0.000512680,-0.035020800
1707309220.406004,-0.000360749,0.071653696,0.000214848,-0.067674226,-0.000206343,0.011476412,0.004648875,-1.339706777,-0.008297319,-0.577069415,0.002269061,0.355111323,9.850000000,0.000472210,-0.040470172
1707309220.411708,-0.000140905,0.121350293,0.000079616,-0.067657273,-0.000247313,-0.030459630,0.000409361,-2.377164357,-0.009152955,-0.379157490,0.003851852,0.941235032,9.852000000,0.000377417,-0.049445750
1707309220.413018,-0.000001724,0.139180156,0.000009715,-0.069901343,-0.000289597,-0.042284459,-0.002464893,-2.874254356,-0.009452431,-0.299475565,0.005101876,1.250023883,9.853000000,0.000324826,-0.052591829
1707309220.424324,0.000146412,0.148136226,-0.000069827,-0.079542154,-0.000305647,-0.016050070,-0.003520471,-1.055577322,-0.009768094,-0.315662939,0.004385323,-0.716553363,9.854000000,0.000270446,-0.054379517
1707309220.424875,0.000645256,0.083329626,-0.000442403,-0.088550906,-0.000229144,-0.006753297,0.003597705,1.007538899,-0.010685556,-0.015130801,-0.009555465,-2.318501778,9.858000000,0.000062391,-0.047245065
